Shift,Point,Timing
ZPMM,1006990,05:00
ZPMM,1007009,09:00
ZPMM,1007032,09:00
ZPMM,1007033,05:30
ZPMM,1007057,06:00
ZPMM,1007070,05:30
ZPMM,1007071,05:30
ZPMM,1007080,04:00
ZPMM,1007134,04:00
ZPMM,1007174,09:00
ZPMM,1007192,08:00
ZPMM,1007211,07:00
ZPMM,1007244,03:30
ZPMM,1007245,09:00
ZPMM,1007282,04:30
ZPMM,1007285,04:15
ZPMM,1007349,09:00
ZPMM,1007378,09:00
ZPMM,1007405,06:00
ZPMM,1007446,04:30
ZPMM,1007571,06:00
ZPMM,1007572,04:30
ZPMM,1007573,05:00
ZPMM,1007710,04:30
ZPMM,1007715,03:30
ZPMM,1007721,07:00
ZPMM,1007784,09:00
ZPMM,1007791,09:00
ZPMM,1007812,04:30
ZPMM,1007837,04:00
ZPMM,1007840,03:30
ZPMM,1008314,08:00
ZPMM,1008499,03:30
ZPMM,1008500,05:30
ZPMM,1008520,04:00
ZPMM,1008561,03:30
ZPMM,1008685,04:30
ZPMM,1008721,04:00
ZPMM,1008818,04:00
ZPMM,1008946,06:00
ZPMM,1009194,04:00
ZPMM,1009257,07:00
ZPMM,1009569,04:00
ZPMM,1009671,05:30
ZPMM,1009750,06:30
ZPMM,1009751,05:00
ZPMM,1010007,04:30
ZPMM,1010025,03:00
ZPMM,1010139,06:00
ZPMM,1010181,05:00
ZPMM,1010194,04:30
ZPMM,1010749,06:00
ZPMM,1010818,04:00
ZPMM,1010913,09:00
ZPMM,1011497,05:00
ZPMM,1011606,03:30
ZPMM,1012013,04:00
ZPMM,1012071,05:30
ZPMM,1012388,05:00
ZPMM,1012589,08:00
ZPMM,1012610,06:00
ZPMM,1012616,06:30
ZPMM,1012618,06:00
ZPMM,1012619,06:30
ZPMM,1012620,06:30
ZPMM,1012630,04:00
ZPMM,1012636,06:00
ZPMM,1012841,04:30
ZPMM,1012946,06:00
ZPMM,1013179,07:00
ZPMM,1013207,04:30
ZPMM,1013212,06:00
ZPMM,1013226,05:00
ZPMM,1013256,04:00
ZPMM,1013262,06:00
ZPMM,1013289,04:00
ZPMM,1013318,04:15
ZPMM,1013319,06:30
ZPMM,1013320,04:00
ZPMM,1013387,05:00
ZPMM,1013412,08:00
ZPMM,1013413,05:00
ZPMM,1013414,03:30
ZPMM,1013416,04:15
ZPMM,1013423,04:30
ZPMM,1013451,05:30
ZPMM,1013454,07:00
ZPMM,1013456,05:30
ZPMM,1013541,06:00
ZPMM,1013569,04:30
ZPMM,1013570,06:00
ZPMM,1014034,06:00
ZPMM,1014244,04:30
ZPMM,1014301,05:30
ZPMM,1014302,04:15
ZPMM,1014345,08:00
ZPMM,1014421,10:00
ZPMM,1014422,04:00
ZPMM,1014423,05:30
ZPMM,1014457,06:00
ZPMM,1014578,06:00
ZPMM,1014579,04:00
ZPMM,1014580,06:00
ZPMM,1014603,04:00
ZPMM,1014628,05:30
ZPMM,1014656,04:00
ZPMM,1014733,05:00
ZPMM,1015140,04:00
ZPMM,1015202,07:00
ZPMM,1015203,05:00
ZPMM,1015245,04:00
ZPMM,1015246,04:15
ZPMM,1015259,04:00
ZPMM,1015271,03:00
ZPMM,1015286,05:00
ZPMM,1015311,04:00
ZPMM,1015394,03:45
ZPMM,1015489,05:00
ZPMM,1015590,04:00
ZPMM,1015591,05:00
ZPMM,1015592,05:00
ZPMM,1015595,05:30
ZPMM,1015598,05:00
ZPMM,1015602,05:00
ZPMM,1015603,05:00
ZPMM,1015613,04:30
ZPMM,5000570,03:30
ZPMM,5001514,04:00
ZPMM,5001787,04:00
ZPMM,5001656,05:30
ZPMM,5001785,04:00
ZPMM,5001515,09:00
ZPMM,5001658,09:00
ZPMM,5001513,05:00
ZPMM,5001788,09:00
ZPMM,5001690,07:00
ZPMM,5001304,05:30
ZPMM,5001305,05:30
ZPMM,5001307,05:30
ZPMM,5001308,05:30
ZPMM,5001342,05:30
ZPMM,5001657,05:30
ZPMM,5001689,05:30
ZPMM,5001816,05:30
ZPMM,5001821,05:30
ZPMM,5001622,04:30
ZPMM,5001235,06:30
ZPMM,5001306,06:30
ZPMM,5001241,04:15
ZPMM,5001791,07:00
ZPMM,5001303,03:30
ZPMM,5001688,03:30
ZPMM,5001696,03:30
ZPMM,1013302,04:30
ZPMM,1015718,04:15
ZPMM,1015686,05:00
ZPMM,1015714,05:00
ZPMM,1015719,03:30
ZPMM,1015825,03:00
ZPMM,1002796,06:00
ZPMM,1015258,06:00
ZPMM,1002866,05:00
ZPMM,1006864,05:00
ZPMM,1015818,05:00
ZPMM,1015594,04:15
ZPMM,1016299,04:15
ZPMM,5001861,05:00
ZPMM,5001855,04:00
ZPMM,5001809,04:00
ZPMM,1010126,04:00
ZPMM,1013213,04:00
ZPMM,1016438,06:00
ZPMM,1009650,05:00
ZPMM,1016472,05:00
ZPMM,1004163,06:00
ZPMM,5001621,04:00
ZPMM,5001177,05:00
ZPMM,1016303,05:00
ZPMM,1016535,04:00
ZPMM,1016790,06:00
ZPME,1002616,16:00
ZPME,1002626,16:00
ZPME,1002636,16:00
ZPME,1002638,16:00
ZPME,1002643,16:00
ZPME,1002648,16:00
ZPME,1002652,16:00
ZPME,1002722,16:00
ZPME,1002732,16:00
ZPME,1002735,16:00
ZPME,1002751,16:00
ZPME,1002754,16:00
ZPME,1002777,16:00
ZPME,1004621,16:00
ZPME,1005808,16:00
ZPME,1007840,16:00
ZPME,1002719,16:00
ZPME,1002721,16:00
ZPME,1002723,16:00
ZPME,1002794,16:00
ZPME,1002853,16:00
ZPME,1004258,16:00
ZPME,1004758,16:00
ZPME,1004759,16:00
ZPME,1005162,16:00
ZPME,1005539,16:00
ZPME,1005949,16:00
ZPME,1007244,16:00
ZPME,1008499,16:00
ZPME,1008946,16:00
ZPME,1013414,16:00
ZPME,1016915,16:00
ZPME,1002662,16:00
ZPME,1002804,16:00
ZPME,1002867,16:00
ZPME,1002871,16:00
ZPME,1002873,16:00
ZPME,1004525,16:00
ZPME,1006968,16:00
ZPME,1007192,16:00
ZPME,1017011,16:00
ZPME,1002622,15:00
ZPME,1002580,16:00
ZPME,1002583,16:00
ZPME,1002592,16:00
ZPME,1002593,16:00
ZPME,1002598,16:00
ZPME,1002599,16:00
ZPME,1002603,16:00
ZPME,1002604,16:00
ZPME,1002607,16:00
ZPME,1002608,16:00
ZPME,1002610,16:00
ZPME,1002611,16:00
ZPME,1003815,16:00
ZPME,1006609,16:00
ZPME,1007816,16:00
ZPME,1012589,16:00
ZPME,1013256,16:00
