Billing Date,Route,Sold-to party
13-08-15,2330,23763
13-08-15,2330,26740
13-08-15,2330,28732
13-08-15,2330,28798
13-08-15,2330,29754
13-08-15,2330,30706
13-08-15,2330,30709
13-08-15,2330,30737
13-08-15,2330,30756
13-08-15,2330,30772
13-08-15,2330,30775
13-08-15,2331,10627
13-08-15,2349,13728
13-08-15,2349,13734
13-08-15,2349,13750
13-08-15,2349,16727
13-08-15,2349,16786
13-08-15,2349,17709
13-08-15,2349,23720
13-08-15,2349,23790
13-08-15,2349,28789
13-08-15,2349,29757
13-08-15,2401,13624
13-08-15,2401,13684
13-08-15,2401,16681
13-08-15,2401,17607
13-08-15,2401,23637
13-08-15,2401,24688
13-08-15,2401,26590
13-08-15,2401,26677
13-08-15,2401,27557
13-08-15,2401,27601
13-08-15,2401,27609
13-08-15,2401,27639
13-08-15,2401,27670
13-08-15,2401,27695
13-08-15,2401,28634
13-08-15,2401,29519
13-08-15,2401,29551
13-08-15,2401,30504
13-08-15,2401,30527
13-08-15,2402,13715
13-08-15,2402,13727
13-08-15,2402,16725
13-08-15,2402,16758
13-08-15,2402,24712
13-08-15,2402,26764
13-08-15,2402,27712
13-08-15,2402,27728
13-08-15,2402,27798
13-08-15,2402,28721
13-08-15,2402,29765
13-08-15,2402,30715
13-08-15,2402,30744
13-08-15,2402,30765
13-08-15,2402,30778
13-08-15,2403,13729
13-08-15,2403,13763
13-08-15,2403,16787
13-08-15,2403,17708
13-08-15,2403,24779
13-08-15,2403,27788
13-08-15,2403,28723
13-08-15,2403,28766
13-08-15,2403,28769
13-08-15,2403,28795
13-08-15,2403,29745
13-08-15,2403,30710
13-08-15,2403,30764
13-08-15,2404,13631
13-08-15,2404,13679
13-08-15,2404,13686
13-08-15,2404,16676
13-08-15,2404,23611
13-08-15,2404,23632
13-08-15,2404,27617
13-08-15,2404,27641
13-08-15,2404,27646
13-08-15,2404,27686
13-08-15,2404,27687
13-08-15,2404,27694
13-08-15,2404,28522
13-08-15,2404,28621
13-08-15,2404,29583
13-08-15,2405,13023
13-08-15,2405,13028
13-08-15,2405,13056
13-08-15,2405,13061
13-08-15,2405,13063
13-08-15,2405,16006
13-08-15,2405,16059
13-08-15,2405,23067
13-08-15,2405,24077
13-08-15,2405,28002
13-08-15,2406,13764
13-08-15,2406,17704
13-08-15,2406,17706
13-08-15,2406,17712
13-08-15,2406,17713
13-08-15,2406,23775
13-08-15,2406,26718
13-08-15,2406,26784
13-08-15,2406,28711
13-08-15,2406,28738
13-08-15,2406,28741
13-08-15,2407,13748
13-08-15,2407,13757
13-08-15,2407,23703
13-08-15,2407,26730
13-08-15,2407,26745
13-08-15,2407,26779
13-08-15,2407,26791
13-08-15,2407,27748
13-08-15,2407,27768
13-08-15,2407,29737
13-08-15,2407,29740
13-08-15,2407,29761
13-08-15,2407,29791
13-08-15,2407,30714
13-08-15,2407,30735
13-08-15,2407,30752
13-08-15,2407,30766
13-08-15,2408,13620
13-08-15,2408,13630
13-08-15,2408,16604
13-08-15,2408,23643
13-08-15,2408,23660
13-08-15,2408,23698
13-08-15,2408,24523
13-08-15,2408,24651
13-08-15,2408,25601
13-08-15,2408,25616
13-08-15,2408,27685
13-08-15,2408,27697
13-08-15,2408,28569
13-08-15,2408,30525
13-08-15,2408,30542
13-08-15,2409,16744
13-08-15,2409,24776
13-08-15,2409,28709
13-08-15,2409,28737
13-08-15,2409,28787
13-08-15,2409,29743
13-08-15,2409,29752
13-08-15,2409,29760
13-08-15,2409,30716
13-08-15,2409,30753
13-08-15,2409,30762
13-08-15,2410,723
13-08-15,2410,13054
13-08-15,2410,13065
13-08-15,2410,13066
13-08-15,2410,13975
13-08-15,2410,13978
13-08-15,2410,23044
13-08-15,2410,23056
13-08-15,2410,26073
13-08-15,2410,26076
13-08-15,2410,26092
13-08-15,2410,27013
13-08-15,2410,27014
13-08-15,2410,27024
13-08-15,2410,27085
13-08-15,2410,27088
13-08-15,2410,28011
13-08-15,2411,584
13-08-15,2411,16549
13-08-15,2411,16563
13-08-15,2411,16594
13-08-15,2411,17503
13-08-15,2411,17511
13-08-15,2411,23502
13-08-15,2411,26514
13-08-15,2411,26515
13-08-15,2411,27513
13-08-15,2411,27520
13-08-15,2411,27593
13-08-15,2411,29508
13-08-15,2411,30543
13-08-15,2411,30544
13-08-15,2412,13961
13-08-15,2412,16986
13-08-15,2412,17954
13-08-15,2412,17957
13-08-15,2412,17967
13-08-15,2412,23979
13-08-15,2412,23994
13-08-15,2412,26997
13-08-15,2412,27955
13-08-15,2412,27966
13-08-15,2412,27989
13-08-15,2412,27990
13-08-15,2412,28956
13-08-15,2412,28957
13-08-15,2412,28959
13-08-15,2412,28990
13-08-15,2412,28994
13-08-15,2412,28995
13-08-15,2412,29955
13-08-15,2413,13746
13-08-15,2413,13760
13-08-15,2413,16705
13-08-15,2413,16717
13-08-15,2413,24796
13-08-15,2413,27752
13-08-15,2413,28712
13-08-15,2414,13612
13-08-15,2414,13636
13-08-15,2414,13670
13-08-15,2414,13673
13-08-15,2414,16654
13-08-15,2414,23663
13-08-15,2414,26607
13-08-15,2414,26617
13-08-15,2414,26653
13-08-15,2414,26662
13-08-15,2414,27629
13-08-15,2414,27640
13-08-15,2414,28612
13-08-15,2414,28676
13-08-15,2414,28697
13-08-15,2415,558
13-08-15,2415,13667
13-08-15,2415,13694
13-08-15,2415,16615
13-08-15,2415,16686
13-08-15,2415,24666
13-08-15,2415,26604
13-08-15,2415,26624
13-08-15,2415,26689
13-08-15,2415,28693
13-08-15,2415,29604
13-08-15,2415,29646
13-08-15,2416,715
13-08-15,2416,13732
13-08-15,2416,17707
13-08-15,2416,23742
13-08-15,2416,23755
13-08-15,2416,28762
13-08-15,2416,29780
13-08-15,2416,29781
13-08-15,2416,29793
13-08-15,2416,30758
13-08-15,2417,16763
13-08-15,2417,16793
13-08-15,2417,23759
13-08-15,2417,24715
13-08-15,2417,26721
13-08-15,2417,26725
13-08-15,2417,26752
13-08-15,2417,28720
13-08-15,2417,28751
13-08-15,2417,29713
13-08-15,2417,29725
13-08-15,2417,29776
13-08-15,2417,29790
13-08-15,2417,30717
13-08-15,2417,30718
13-08-15,2418,23521
13-08-15,2418,24535
13-08-15,2418,25563
13-08-15,2418,25572
13-08-15,2418,25573
13-08-15,2418,26508
13-08-15,2418,26563
13-08-15,2418,28511
13-08-15,2418,28531
13-08-15,2418,28545
13-08-15,2418,28554
13-08-15,2418,28555
13-08-15,2418,28562
13-08-15,2418,29568
13-08-15,2418,29585
13-08-15,2418,29593
13-08-15,2418,29595
13-08-15,2419,13756
13-08-15,2419,23799
13-08-15,2419,24735
13-08-15,2419,24747
13-08-15,2419,26716
13-08-15,2419,26736
13-08-15,2419,27707
13-08-15,2419,27753
13-08-15,2419,27783
13-08-15,2419,28727
13-08-15,2419,29758
13-08-15,2419,29775
13-08-15,2419,30711
13-08-15,2419,30729
13-08-15,2420,10770
13-08-15,2420,16715
13-08-15,2420,19702
13-08-15,2420,23773
13-08-15,2420,27760
13-08-15,2420,28717
