trip date,DCSM NAME,Route,Vehicle No,Activity Time For Weight Out,Activity Time For  Weight In
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22321,DL1LG4590,07:47:22,19:00:00
06-08-15,NEO HOSPITALITIES,22402,DL1LS1926,07:48:34,19:00:00
06-08-15,SATLUJ GOODS CARRIERS,22311,DL1LP9466,07:49:33,19:00:00
06-08-15,AASTHA LOGISTICS PVT. LTD.,22504,DL1M5395,07:50:27,19:00:00
06-08-15,NEO HOSPITALITIES,22423,DL1LP8279,07:53:13,19:00:00
06-08-15,Maheshwari Tpt Service,22419,DL1LG4886,07:54:37,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22331,DL1M5177,07:55:40,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22317,DL1LG7672,07:57:07,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22408,DL1LG7673,07:58:49,19:00:00
06-08-15,Maheshwari Tpt Service,22404,DL1LK0262,08:03:25,19:00:00
06-08-15,Maheshwari Tpt Service,22413,DL1LG5886,08:08:03,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22316,DL1M5465,08:09:39,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22315,DL1M5169,08:11:05,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22322,DL1M5194,08:12:32,19:00:00
06-08-15,SANJAY SHARMA,22429,DL1LP6568,08:13:34,19:00:00
06-08-15,SHRI JAI GURUDEV TRANSPORT SER,22318,DL1M5480,08:14:56,19:00:00
06-08-15,SANJAY SHARMA,22418,DL1LP5913,08:16:30,19:00:00
06-08-15,Maheshwari Tpt Service,22420,DL1LG5926,08:18:16,19:00:00
06-08-15,Vinayak Tanker Service,22350,DL1M5446,08:27:54,19:00:00
06-08-15,MANOJ KUMAR,29003,DL1LV9450,23:32:35,19:00:00
